SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
13365,13366,4085,NY-00130,CARLSTADT,07072,BERGEN,NJ,0.00,0.00,0.00,"226,300.00",0.00,0.00,"226,300.00"
13365,13366,4085,NY-00130,CEDARHURST,11516,NASSAU,NY,"894,029.00","580,484.00","313,545.00","312,400.00","111,900.00","38,400.00","162,100.00"
13365,13366,4085,NY-00130,CENTER MORICHES,11934,SUFFOLK,NY,"348,777.00","347,277.00","1,500.00","6,000.00",0.00,"1,500.00","4,500.00"
13365,13366,4085,NY-00130,CENTEREACH,11720,SUFFOLK,NY,"21,420.00",0.00,"21,420.00","4,200.00",0.00,"4,200.00",0.00
13365,13366,4085,NY-00130,CENTERPORT,11721,SUFFOLK,NY,"564,132.00","538,482.00","25,650.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,CENTRAL ISLIP,11722,SUFFOLK,NY,"45,726.00","43,591.00","2,135.00","223,200.00","10,800.00",0.00,"212,400.00"
13365,13366,4085,NY-00130,CHAPPAQUA,10514,WESTCHESTER,NY,"14,985.00","14,985.00",0.00,"2,000.00","2,000.00",0.00,0.00
13365,13366,4085,NY-00130,CHERRY GROVE,11782,SUFFOLK,NY,"178,112.00","157,577.00","20,535.00","20,600.00",0.00,"20,600.00",0.00
13365,13366,4085,NY-00130,CHESTNUT RIDGE,10977,ROCKLAND,NY,"47,999.00","38,487.00","9,512.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,COLD SPRING,10516,PUTNAM,NY,"1,862.00","1,862.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,COLD SPRING HARBOR,11724,SUFFOLK,NY,"63,296.00","63,296.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,COLLEGE POINT,11356,QUEENS,NY,"484,781.00","214,753.00","270,028.00","90,400.00","40,200.00","26,900.00","23,300.00"
13365,13366,4085,NY-00130,COLLEGE POINT,11361,QUEENS,NY,"3,000.00","3,000.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,COMMACK,11725,SUFFOLK,NY,"360,096.00","341,260.00","18,836.00","230,300.00",400.00,"2,400.00","227,500.00"
13365,13366,4085,NY-00130,CONGERS,10920,ROCKLAND,NY,"69,450.00","50,375.00","19,075.00",0.00,0.00,0.00,0.00
